요일,살인,강도,성범죄,방화,연도
일요일,135,229,3297,246,2015
월요일,140,223,2863,268,2015
화요일,123,205,2876,232,2015
수요일,160,183,2898,223,2015
목요일,144,205,2775,226,2015
금요일,107,206,3069,231,2015
토요일,120,195,3508,247,2015
일요일,141,167,3394,229,2016
월요일,141,157,2869,218,2016
화요일,121,166,2977,211,2016
수요일,142,165,2916,193,2016
목요일,110,163,2960,223,2016
금요일,135,175,3371,221,2016
토요일,124,156,3713,207,2016
일요일,104,151,3662,217,2017
월요일,127,123,3115,193,2017
화요일,120,139,3188,196,2017
수요일,116,142,3274,188,2017
목요일,124,139,3335,209,2017
금요일,118,142,3596,181,2017
토요일,116,131,3940,188,2017
일요일,126,126,3646,256,2018
월요일,114,120,3059,236,2018
화요일,100,133,3123,263,2018
수요일,121,116,3221,235,2018
목요일,117,117,3179,246,2018
금요일,121,101,3400,212,2018
토요일,98,108,3850,243,2018
일요일,109,111,3652,209,2019
월요일,115,113,3110,181,2019
화요일,116,116,3194,181,2019
수요일,102,105,3218,209,2019
목요일,110,124,3041,170,2019
금요일,134,121,3419,206,2019
토요일,93,108,3903,206,2019
