발생지별,살인,성폭력,강도,방화,code,year
서울특별시,163,5463,274,315,11,2015
부산광역시,61,1435,161,117,21,2015
대구광역시,36,902,60,86,22,2015
인천광역시,51,1294,103,94,23,2015
광주광역시,18,750,44,48,24,2015
대전광역시,24,569,64,41,25,2015
울산광역시,23,444,29,36,26,2015
세종특별자치시,3,38,0,5,29,2015
경기도,199,4459,300,416,31,2015
강원도,23,402,26,27,32,2015
충청북도,28,370,38,30,33,2015
충청남도,35,522,40,50,34,2015
전라북도,19,483,45,44,35,2015
전라남도,8,385,25,31,36,2015
경상북도,23,651,65,62,37,2015
경상남도,49,874,70,84,38,2015
제주도,27,300,33,35,39,2015
서울,146,260,5991,286,11,2016
부산,72,137,1323,98,21,2016
대구,29,51,880,68,22,2016
인천,48,88,1597,84,23,2016
광주,17,47,694,38,24,2016
대전,25,35,620,44,25,2016
울산,22,33,430,38,26,2016
세종,2,3,51,2,29,2016
경기도,241,185,5002,325,31,2016
강원도,18,22,439,39,32,2016
충청북도,19,19,470,39,33,2016
충청남도,34,39,666,71,34,2016
전라북도,26,38,495,37,35,2016
전라남도,15,20,393,36,36,2016
경상북도,34,40,624,58,37,2016
경상남도,46,60,857,74,38,2016
제주도,16,25,426,26,39,2016
서울,141,167,6915,225,11,2017
부산,62,102,1662,90,21,2017
대구,46,37,841,71,22,2017
인천,35,73,1686,81,23,2017
광주,9,33,693,35,24,2017
대전,22,41,694,37,25,2017
울산,17,25,425,33,26,2017
세종,6,3,65,3,29,2017
경기도,168,202,5166,299,31,2017
강원도,24,22,453,42,32,2017
충청북도,27,20,538,39,33,2017
충청남도,32,30,654,72,34,2017
전라북도,22,24,508,45,35,2017
전라남도,19,17,425,43,36,2017
경상북도,29,47,710,60,37,2017
경상남도,51,51,961,69,38,2017
제주도,18,35,376,15,39,2017
서울,142,139,6400,293,11,2018
부산,53,86,1465,108,21,2018
대구,30,44,987,69,22,2018
인천,44,37,1585,77,23,2018
광주,18,27,720,27,24,2018
대전,15,51,736,46,25,2018
울산,11,26,428,31,26,2018
세종,5,5,92,4,29,2018
경기도,190,165,4965,346,31,2018
강원도,14,11,497,31,32,2018
충청북도,26,21,515,40,33,2018
충청남도,26,35,681,72,34,2018
전라북도,30,24,584,43,35,2018
전라남도,21,19,489,26,36,2018
경상북도,32,33,723,47,37,2018
경상남도,54,49,912,288,38,2018
제주도,16,10,385,21,39,2018
서울특별시,134,6458,133,252,11,2019
부산광역시,64,1471,81,100,21,2019
대구광역시,41,961,31,62,22,2019
인천광역시,48,1568,60,73,23,2019
광주광역시,16,668,27,42,24,2019
대전광역시,18,711,25,48,25,2019
울산광역시,19,451,27,19,26,2019
세종특별자치시,3,63,0,0,29,2019
경기도,165,5018,177,290,31,2019
강원도,13,508,23,28,32,2019
충청북도,22,486,28,41,33,2019
충청남도,34,666,30,59,34,2019
전라북도,33,633,22,41,35,2019
전라남도,14,473,16,34,36,2019
경상북도,26,783,24,63,37,2019
경상남도,41,938,34,50,38,2019
제주도,20,405,21,30,39,2019
